candle_index,Open,High,Low,Close,TAIL_GAP_UP,TAIL_GAP_DOWN,gap_upper,gap_lower,gap_magnitude,candle_type,ema20
1,6957.75,6966.5,6952.0,6966.25,0,0,,,,1,6966.25
2,6966.0,6973.25,6966.0,6970.75,0,0,,,,1,6966.678571428572
3,6970.75,6976.5,6968.0,6975.5,1,0,6968.0,6966.5,1.5,1,6967.518707482993
4,6975.75,6979.25,6975.0,6975.5,1,0,6975.0,6973.25,1.75,-1,6968.27883057985
5,6975.75,6980.0,6974.25,6977.5,0,0,,,,1,6969.157037191293
6,6977.5,6980.0,6975.75,6976.5,0,0,,,,-1,6969.856366982599
7,6976.25,6977.5,6973.75,6975.75,0,0,,,,-1,6970.417665365208
8,6975.75,6977.5,6973.0,6973.25,0,0,,,,-1,6970.687411520903
9,6973.25,6980.5,6971.0,6979.5,0,0,,,,1,6971.526705661769
10,6979.5,6985.25,6978.5,6984.5,1,0,6978.5,6977.5,1.0,1,6972.762257503505
11,6984.75,6988.0,6984.75,6987.5,1,0,6984.75,6980.5,4.25,1,6974.165852026981
12,6987.5,6987.5,6978.75,6979.25,0,0,,,,-1,6974.65005659584
13,6979.0,6984.5,6977.25,6982.25,0,1,6984.75,6984.5,0.25,1,6975.37386072957
14,6982.0,6984.0,6980.0,6981.5,0,0,,,,-1,6975.957302564849
15,6981.5,6981.75,6976.0,6976.75,0,0,,,,-1,6976.032797558672
16,6976.75,6985.0,6976.75,6983.25,0,0,,,,1,6976.720150172132
17,6983.25,6987.25,6982.75,6985.25,1,0,6982.75,6981.75,1.0,1,6977.532516822405
18,6985.5,6987.0,6982.5,6983.75,0,0,,,,-1,6978.124658077414
19,6983.75,6984.5,6981.25,6983.0,0,0,,,,-1,6978.588976355756
20,6983.0,6983.5,6980.0,6982.25,0,0,,,,-1,6978.937645274256
21,6982.25,6983.25,6980.25,6982.0,0,0,,,,-1,6979.22929810528
22,6981.75,6982.5,6977.5,6978.5,0,0,,,,-1,6979.159841142872
23,6978.25,6984.0,6975.75,6983.25,0,0,,,,1,6979.549380081647
24,6983.25,6986.5,6982.25,6985.0,0,0,,,,1,6980.068486740538
25,6985.0,6987.5,6983.25,6983.5,0,0,,,,-1,6980.395297527153
26,6983.5,6986.25,6982.25,6984.25,0,0,,,,1,6980.762412048377
27,6984.0,6985.0,6982.25,6982.75,0,0,,,,-1,6980.951706139007
28,6982.75,6985.0,6981.5,6983.5,0,0,,,,1,6981.194400792436
29,6983.5,6985.75,6982.75,6984.75,0,0,,,,1,6981.533029288394
30,6985.0,6986.25,6983.5,6984.75,0,0,,,,-1,6981.8394074514035
31,6985.0,6990.5,6984.0,6989.5,0,0,,,,1,6982.568987694127
32,6989.5,6991.0,6988.25,6988.5,1,0,6988.25,6986.25,2.0,-1,6983.133846008972
33,6988.5,6989.75,6986.75,6989.0,0,0,,,,1,6983.692527341451
34,6988.75,6990.5,6988.0,6988.75,0,0,,,,0,6984.17419140417
35,6988.75,6990.5,6988.25,6989.5,0,0,,,,1,6984.681411270441
36,6989.25,6990.25,6988.5,6989.0,0,0,,,,-1,6985.0927054351605
37,6988.75,6989.5,6986.0,6987.75,0,0,,,,-1,6985.3457811080025
38,6987.75,6989.0,6986.75,6988.25,0,0,,,,1,6985.622373383431
39,6988.0,6989.75,6987.25,6989.5,0,0,,,,1,6985.991671156438
40,6989.5,6989.5,6984.75,6985.5,0,0,,,,-1,6985.9448453320165
41,6985.5,6987.75,6984.0,6986.25,0,0,,,,1,6985.9739076813485
42,6986.5,6987.5,6984.75,6986.0,0,0,,,,-1,6985.976392664077
43,6986.0,6987.25,6984.25,6985.5,0,0,,,,-1,6985.931021934164
44,6985.75,6986.0,6982.75,6983.75,0,0,,,,-1,6985.723305559482
45,6983.5,6985.0,6983.5,6984.25,0,0,,,,1,6985.582990744293
46,6984.0,6988.5,6983.0,6988.0,0,0,,,,1,6985.813182101979
47,6988.0,6991.0,6987.5,6990.5,1,0,6987.5,6985.0,2.5,1,6986.259545711314
48,6990.5,6993.0,6988.75,6991.75,1,0,6988.75,6988.5,0.25,1,6986.78244611976
49,6991.5,6995.5,6991.25,6994.25,1,0,6991.25,6991.0,0.25,1,6987.493641727402
50,6994.25,6994.5,6990.25,6990.5,0,0,,,,-1,6987.779961562887
51,6990.75,6991.25,6988.5,6989.0,0,0,,,,-1,6987.896155699756
52,6989.25,6989.25,6987.0,6989.0,0,1,6990.25,6989.25,1.0,-1,6988.00128372835
53,6989.0,6990.75,6988.25,6990.5,0,0,,,,1,6988.239256706603
54,6990.25,6990.75,6988.25,6989.75,0,0,,,,-1,6988.38313702026
55,6989.5,6991.0,6988.5,6989.5,0,0,,,,0,6988.489504923093
56,6989.75,6992.25,6988.75,6991.5,0,0,,,,1,6988.776218739941
57,6991.5,6993.5,6991.25,6991.75,1,0,6991.25,6991.0,0.25,1,6989.0594360028035
58,6991.75,6992.75,6990.75,6992.0,0,0,,,,1,6989.339489716822
59,6992.0,6992.0,6988.25,6989.0,0,0,,,,-1,6989.307157362839
60,6989.25,6992.5,6988.5,6992.25,0,0,,,,1,6989.587428090187
61,6992.0,6993.25,6990.25,6991.0,0,0,,,,-1,6989.721958748265
62,6991.25,6992.0,6989.25,6991.25,0,0,,,,0,6989.867486486525
63,6991.5,6993.75,6990.75,6992.25,0,0,,,,1,6990.094392535428
64,6992.5,6993.25,6990.25,6991.25,0,0,,,,-1,6990.204450389197
65,6991.0,6992.25,6989.5,6990.0,0,0,,,,-1,6990.184978923558
66,6990.0,6992.0,6989.0,6989.5,0,0,,,,-1,6990.119742835601
67,6989.5,6991.0,6987.75,6991.0,0,0,,,,1,6990.203576851258
68,6991.0,6991.25,6989.5,6990.5,0,0,,,,-1,6990.231807627329
69,6990.25,6991.0,6989.0,6990.0,0,0,,,,-1,6990.2097307104395
70,6990.0,6990.25,6987.75,6988.5,0,0,,,,-1,6990.046899214207
71,6988.5,6990.75,6988.0,6990.0,0,0,,,,1,6990.042432622377
72,6989.75,6990.0,6988.5,6989.0,0,0,,,,-1,6989.943153325008
73,6989.0,6991.5,6988.75,6990.5,0,0,,,,1,6989.996186341674
74,6990.5,6991.5,6989.75,6989.75,0,0,,,,-1,6989.972740023419
75,6990.0,6990.5,6987.5,6989.0,0,0,,,,-1,6989.880098116427
76,6989.25,6991.0,6988.25,6989.75,0,0,,,,1,6989.867707819624
77,6989.75,6989.75,6982.0,6983.5,0,0,,,,-1,6989.26125945585
78,6983.5,6984.0,6979.5,6980.75,0,1,6988.25,6984.0,4.25,-1,6988.450663317198
79,6980.5,6981.75,6978.75,6979.5,0,1,6982.0,6981.75,0.25,-1,6987.59821919175
80,6979.25,6980.5,6978.25,6978.75,0,0,,,,-1,6986.755531649678
81,6979.0,6980.25,6977.5,6980.0,0,0,,,,1,6986.112147683042
82,6980.0,6981.5,6979.75,6981.5,0,0,,,,1,6985.672895522752
